article,description,category_broad,category_specific,spotify_url,pageid,canonical,display,thumbnail_source,thumbnail_width,thumbnail_height,extract
Jamie_Linden_(writer),American screenwriter,film/tv/theater,screenwriter,,17151362,Jamie_Linden_(writer),Jamie Linden (writer),,,,"Jamie Linden is an American screenwriter best known as the writer of 2006 film We Are Marshall and the writer of 2010 film Dear John. He also wrote and directed the 2010 independent movie 10 Years, starring Channing Tatum."
Jeff_Baena,,film/tv/theater,screenwriter,,51495916,Jeff_Baena,Jeff Baena,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Jeff_Baena.jpg/270px-Jeff_Baena.jpg,270,320,"Jeff Baena is an American screenwriter and film director known for Life After Beth, Joshy, The Little Hours, and for co-writing I Heart Huckabees with David O. Russell."
Jessie_Buckley,Irish actor and singer,film/tv/theater,actor,,17356928,Jessie_Buckley,Jessie Buckley,,,,"Jessie Buckley is an Irish singer and actress, who came second in the BBC talent show-themed television series I'd Do Anything in 2008, and subsequently played Anne Egermann in the West End revival of Stephen Sondheim's A Little Night Music. Most recently, Buckley appeared on four BBC television series, as Marya Bolkonskaya in BBC's adaptation of Leo Tolstoy's War and Peace, as Lorna Bow in Taboo as Honor Martin in The Last Post, and as Marian Halcombe in The Woman in White."
Jim_Mattis,Current United States Secretary of Defense and former United States Marine Corps general,politics,cabinet member,,1470176,Jim_Mattis,Jim Mattis,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/James_Mattis_official_photo.jpg/256px-James_Mattis_official_photo.jpg,256,320,James Norman Mattis is the 26th and current United States Secretary of Defense and a former United States Marine Corps general. He commanded the 1st Marine Division during the 2003 invasion of Iraq and served as the 11th Commander of United States Central Command during the Presidency of Barack Obama.
JoJo_Siwa,"Vocalist, Guitarist",entertainment,tv personality,,50561266,JoJo_Siwa,JoJo Siwa,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/JoJo_Siwa_2.jpg/320px-JoJo_Siwa_2.jpg,320,283,"Joelle Joanie Siwa, known professionally as Jojo Siwa is an American dancer, singer, actress, and YouTube personality. She is known for appearing for two seasons on Dance Moms along with her mother, Jessalynn Siwa, and for her singles ""Boomerang"" and ""Kid in a Candy Store"". Siwa posts daily videos of her day-to-day life on her YouTube channel, ""JoJo Siwa Vlogs"". Her fans are known as Siwanatorz."
Jodie_Comer,British actress,film/tv/theater,actor,,49674056,Jodie_Comer,Jodie Comer,,,,"Jodie Comer is an English actress from Liverpool, England, known for her roles as assassin Villanelle in  Killing Eve, Chloe Gemell in the comedy-drama series My Mad Fat Diary, Ivy Moxam in the BBC Three miniseries Thirteen, Kate Parks in Doctor Foster and as Elizabeth of York in the miniseries The White Princess."
John_Paul_Getty_Jr.,wealthy American-born British philanthropist and book collector,business,philanthropist,,212031,John_Paul_Getty_Jr.,John Paul Getty Jr.,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/John_Paul_Getty%2C_Jr.jpg/230px-John_Paul_Getty%2C_Jr.jpg,230,320,"Sir John Paul Getty,, was a British philanthropist and book collector. He was the third of five sons born to Jean Paul Getty Sr. (1892–1976), one of the richest men in the world at the time, and his wife Ann Rork. The Getty family's wealth was the result of the oil business founded by George Franklin Getty. At birth he was given the name Eugene Paul Getty, but in later life he adopted other names, including Paul Getty, John Paul Getty, Jean Paul Getty Jr., and John Paul Getty II. In 1986, he was awarded an honorary knighthood for services to causes ranging from cricket, to art and to the Conservative Party. His honorary knighthood would eventually become substantive upon the required acquisition of British citizenship. A long-time Anglophile, he became a British citizen in 1997. In 1998 he changed his name by deed poll when he renounced the first name Eugene and wished to be known as Sir Paul Getty, KBE."
Jon_Lovett,"American screenwriter, speechwriter, and television producer",film/tv/theater,screenwriter,,52451619,Jon_Lovett,Jon Lovett,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Jon_Lovett_%28Crooked_Media%29_%40_SXSW_2017_%2833505879416%29.jpg/320px-Jon_Lovett_%28Crooked_Media%29_%40_SXSW_2017_%2833505879416%29.jpg,320,213,"Jon Lovett is an American screenwriter, speechwriter, television producer, and podcaster. After working as a speech and joke writer for President Barack Obama and Hillary Clinton, Lovett co-created the NBC White House sitcom 1600 Penn, and served as a writer and producer on the third season of HBO's The Newsroom. He is a founder of Crooked Media and currently hosts the podcasts Pod Save America and Lovett or Leave It."
Jubin_Nautiyal,Indian singer,music,singer,,49339848,Jubin_Nautiyal,Jubin Nautiyal,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Jubin_Nautiyal_graces_the_International_Customs_Day.jpg/229px-Jubin_Nautiyal_graces_the_International_Customs_Day.jpg,229,320,"Jubin Nautiyal is an Indian singer. Jubin was awarded with Upcoming Male Vocalist of the Year at 8th Mirchi Music Awards, 2016 for his song ""Zindagi Kuch Toh Bata (reprise)"" from Bajrangi Bhaijaan and his other achievement is the Rising Musical Star Award (2015) received at Zee Business Awards. Early in his career, he has sung many songs and several hit songs for Hindi films. He has also recorded songs for films in various Indian languages."
Juice_Wrld,American rapper,music,rapper,https://p.scdn.co/mp3-preview/46f3831fe907b5b98bc933e5a27f4a5252fc3104?cid=774b29d4f13844c495f206cafdad9c86,56848560,Juice_Wrld,Juice Wrld,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Juice_Wrld_Interview.png/247px-Juice_Wrld_Interview.png,247,320,"Jarad Higgins, better known by his stage name Juice Wrld, is an American rapper, singer and songwriter from Chicago, Illinois. He is primarily known for his breakout hits ""All Girls Are the Same"", ""Lucid Dreams"", and ""Legends""."
Katherine_Langford,Australian actress and singer,film/tv/theater,actor,,52882058,Katherine_Langford,Katherine Langford,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Katherine_Langford_in_2018.jpg/194px-Katherine_Langford_in_2018.jpg,194,320,"Katherine Langford is an Australian actress. She is known for starring as Hannah Baker in the 2017 Netflix series 13 Reasons Why, based on the novel of the same name, for which she received a Golden Globe Award nomination. In 2018, she appeared as Vesna in the independent comedy/drama film The Misguided and as Leah Burke in the romantic comedy-drama film Love, Simon."
Kirstin_Maldonado,singer,music,singer,https://p.scdn.co/mp3-preview/da81b5155d9929f3ecd62b214b0012def8a9cb73?cid=774b29d4f13844c495f206cafdad9c86,38574589,Kirstin_Maldonado,Kirstin Maldonado,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Kirsten_Maldonado_Austin_PTX_Show.jpg/253px-Kirsten_Maldonado_Austin_PTX_Show.jpg,253,320,"Kirstin Taylor ""Kirstie"" Maldonado is an American singer and songwriter, and a member of the a cappella group Pentatonix. Together with Pentatonix, Maldonado has released seven studio albums, won three Grammy Awards, and sold over six million albums."
Lamar_Jackson,American football player,sports,NFL player,,50864431,Lamar_Jackson,Lamar Jackson,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Lamar_jackson_ravens_camp_2018_%28cropped%29.jpg/288px-Lamar_jackson_ravens_camp_2018_%28cropped%29.jpg,288,320,"Lamar Demeatrice Jackson Jr. is an American football quarterback for the Baltimore Ravens of the National Football League (NFL). He played college football at Louisville and was selected by the Ravens in the first round of the 2018 NFL Draft. At Louisville, Jackson won the Heisman Trophy, Maxwell Award, and Walter Camp Award and was a unanimous All-American as a sophomore in 2016."
Larry_Kudlow,American economist,business,economist,,20663510,Larry_Kudlow,Larry Kudlow,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Larry_Kudlow_%2825484250682%29_%28cropped%29.jpg/250px-Larry_Kudlow_%2825484250682%29_%28cropped%29.jpg,250,320,Lawrence Alan Kudlow is an American financial analyst and former television host serving as Director of the National Economic Council under President Donald Trump since 2018.
Larry_Nassar,American serial child sexual abuser and physician,law/crime,criminal,,55762330,Larry_Nassar,Larry Nassar,,,,Lawrence Gerard Nassar is an American convicted serial child molester who was the USA Gymnastics national team doctor and an osteopathic physician at Michigan State University.
Laura_Harrier,actress,film/tv/theater,actor,,50891004,Laura_Harrier,Laura Harrier,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Laura_Harrier_Cannes_2018_2.jpg/225px-Laura_Harrier_Cannes_2018_2.jpg,225,320,"Laura Ruth Harrier is an American actress and model. Harrier was first recognized for her portrayal of Destiny Evans in the short-lived reboot of the American soap opera One Life to Live in 2013. In 2017, she made her major film debut portraying Liz Toomes in Spider-Man: Homecoming."
Lawrence_Stroll,,business,business,,50392214,Lawrence_Stroll,Lawrence Stroll,,,,"Lawrence Sheldon Strulovitch, best known as Lawrence Stroll, is a Canadian investor, part-owner of the Racing Point Force India Formula 1 team and collector of vintage Ferraris. On the Forbes 2018 list of the world's billionaires, he was ranked #887 with a net worth of US$2.7 billion."
Letitia_Wright,actress,film/tv/theater,actor,,52067131,Letitia_Wright,Letitia Wright,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Letitia_Wright_by_Gage_Skidmore.jpg/212px-Letitia_Wright_by_Gage_Skidmore.jpg,212,320,"Letitia Michelle Wright is a Guyanese-born British actress. Beginning her professional career in 2011, she has played in roles in several British TV series, including Top Boy, Coming Up, Chasing Shadows, Humans, the Doctor Who episode ""Face the Raven"" and the Black Mirror episode ""Black Museum"", the latter for which she received a Primetime Emmy Award nomination."
Lil_Pump,American rapper,music,rapper,https://p.scdn.co/mp3-preview/c1136bf2d8c9c35a8b4e519ebca83813e8dfd180?cid=774b29d4f13844c495f206cafdad9c86,55667992,Lil_Pump,Lil Pump,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Lil_Pump_mugshot.jpg/247px-Lil_Pump_mugshot.jpg,247,320,"Gazzy Garcia, known professionally as Lil Pump, is an American rapper. He is best known for his 2017 song ""Gucci Gang"", which peaked at number three on the U.S. Billboard Hot 100, and is certified triple platinum by the Recording Industry Association of America. His other songs include ""Esskeetit"", ""D Rose"", ""I Love It"" and ""Boss"". He released his debut studio album, Lil Pump, on October 6, 2017."
Lil_Uzi_Vert,American rapper and singer from Pennsylvania,music,rapper,,50717057,Lil_Uzi_Vert,Lil Uzi Vert,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Lil_Uzi_Vert_Day_N_Night_Festival.png/276px-Lil_Uzi_Vert_Day_N_Night_Festival.png,276,320,"Symere Woods, known professionally as Lil Uzi Vert, is an American rapper, singer and songwriter."
Lili_Reinhart,American actress,film/tv/theater,actor,,53224902,Lili_Reinhart,Lili Reinhart,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Lili_Reinhart_by_Gage_Skidmore.jpg/230px-Lili_Reinhart_by_Gage_Skidmore.jpg,230,320,"Lili Pauline Reinhart is an American actress, best known for portraying Betty Cooper on The CW drama series Riverdale."
Liza_Koshy,"American actress, YouTube comedian and television host",entertainment,youtuber,,53875724,Liza_Koshy,Liza Koshy,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Liza_Koshy_on_Refinery29.jpg/320px-Liza_Koshy_on_Refinery29.jpg,320,312,"Elizabeth Koshy is an American actress, YouTube personality, comedian and television host. She began her career on Vine in 2013, before starting a YouTube channel."
Logan_Paul,American social media entertainer and actor,entertainment,youtuber,,50654292,Logan_Paul,Logan Paul,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/10.8.16LoganPaulByLuigiNovi3.jpg/240px-10.8.16LoganPaulByLuigiNovi3.jpg,240,320,"Logan Alexander Paul is an American actor and internet celebrity. Paul first gained fame through videos shared on former internet video service Vine. Paul's television and film work includes guest appearances on Law & Order: Special Victims Unit and Weird Loners, and roles in films The Thinning and The Space Between Us."
London_Breed,mayor of San Francisco,politics,politician,,37570236,London_Breed,London Breed,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/London_Breed.jpg/256px-London_Breed.jpg,256,320,"London Nicole Breed is an American politician from California who is the 45th and current mayor of the City and County of San Francisco. She formerly served as supervisor for District 5, and was president of the Board of Supervisors from 2015 to 2018."
Loris_Karius,German association football player,sports,soccer player,,37821010,Loris_Karius,Loris Karius,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Loris_Karius.jpg/188px-Loris_Karius.jpg,188,320,"Loris Sven Karius is a German professional footballer who plays as a goalkeeper for Süper Lig club Beşiktaş, on loan from Premier League club Liverpool. He represented Germany at youth level."
Lucas_Hedges,American actor,film/tv/theater,actor,,38115289,Lucas_Hedges,Lucas Hedges,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Lucas_Hedges_2017.png/229px-Lucas_Hedges_2017.png,229,320,"Lucas Hedges is an American actor. The child of writer-director Peter Hedges, he studied theater at the University of North Carolina School of the Arts."
Lucas_Torreira,Uruguayan association football player,sports,soccer player,,51216552,Lucas_Torreira,Lucas Torreira,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Lucas_Torreira_%28cropped%29.jpg/217px-Lucas_Torreira_%28cropped%29.jpg,217,320,Lucas Sebastián Torreira Di Pascua is a Uruguayan professional footballer who plays as a defensive midfielder for Premier League club Arsenal and the Uruguay national team.
Madelaine_Petsch,American actress,film/tv/theater,actor,,53549830,Madelaine_Petsch,Madelaine Petsch,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Madelaine_Petsch_by_Gage_Skidmore.jpg/236px-Madelaine_Petsch_by_Gage_Skidmore.jpg,236,320,Madelaine Grobbelaar Petsch is an American actress. She is known for portraying Cheryl Blossom on The CW television series Riverdale.
Madison_Wolfe,American actress,film/tv/theater,actor,,50781539,Madison_Wolfe,Madison Wolfe,,,,"Madison Wolfe is an American actress. She made her film debut in the adventure drama On the Road (2012) and her television debut in the HBO series True Detective (2014). She starred in the horror film The Conjuring 2 (2016), and as Barbara Thorson in the fantasy/drama film I Kill Giants (2017)."
Marvin_Bagley_III,American basketball player,sports,basketball player,,53538477,Marvin_Bagley_III,Marvin Bagley III,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/DUKEvUNC_2018-03-03_-_Marvin_Bagley_III.jpg/280px-DUKEvUNC_2018-03-03_-_Marvin_Bagley_III.jpg,280,320,Marvin Bagley III is an American professional basketball player for the Sacramento Kings of the National Basketball Association (NBA). He played college basketball for the Duke Blue Devils and was a 2018 Consensus All-American. He was selected with the second overall pick by the Kings in the 2018 NBA draft.
Matteo_Salvini,Italian politician,politics,politician,,1767165,Matteo_Salvini,Matteo Salvini,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Matteo_Salvini_Viminale_%28cropped%29.jpg/231px-Matteo_Salvini_Viminale_%28cropped%29.jpg,231,320,Matteo Salvini is an Italian politician serving as Deputy Prime Minister of Italy and Minister of the Interior since 1 June 2018. He is also Federal Secretary of Northern League since December 2013 and the leader of Us with Salvini since December 2014. He has been a Senator in the Italian Senate since March 2018. He previously served as a Member of the European Parliament (MEP) for the constituency of North-West Italy from 2004 to 2018.
Maya_Hawke,American actress and model,film/tv/theater,actor,,41476864,Maya_Hawke,Maya Hawke,,,,"Maya Ray Thurman Hawke is an American actress and model. She is the daughter of actors Uma Thurman and Ethan Hawke. She made her screen debut as Jo March in the 2017 BBC adaptation of Little Women, and is set to star as Robin in the upcoming third season of Stranger Things."
Michael_Avenatti,American attorney and entrepreneur,law/crime,attorney,,55848647,Michael_Avenatti,Michael Avenatti,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Michael_Avenatti_CPL.jpg/224px-Michael_Avenatti_CPL.jpg,224,320,"Michael John Avenatti is an American attorney and entrepreneur. He has appeared on broadcast and in print media as a commentator on a range of legal issues and has represented parties in a number of lawsuits that have gained international media attention, including cases brought against the National Football League, various celebrity defendants, high-ranking business executives, and Fortune 100 companies. He is also a professional race car driver, having participated in races across the United States and Europe. Avenatti is best known for suing President Donald Trump on behalf of porn actress Stormy Daniels in an attempt to void a non-disclosure agreement she had signed."
Michelle_Wolf,American comedian,entertainment,comedian,,50100139,Michelle_Wolf,Michelle Wolf,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Michelle_Wolf_in_2016.jpg/256px-Michelle_Wolf_in_2016.jpg,256,320,"Michelle Wolf is an American comedian, writer, producer, and television host. She worked as a contributor and writer for Late Night with Seth Meyers and The Daily Show with Trevor Noah. She spoke as the featured performer at the 2018 White House Correspondents' Dinner. She hosted the Netflix comedy talk show series The Break with Michelle Wolf."
Mike_Cernovich,American writer,writing,writer,,51989431,Mike_Cernovich,Mike Cernovich,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Mike_Cernovich_by_Gage_Skidmore.jpg/222px-Mike_Cernovich_by_Gage_Skidmore.jpg,222,320,"Michael Cernovich is an American alt-right social media personality, writer, and conspiracy theorist. His website, ""Danger & Play"", known originally for its men's rights advocacy, was created in 2012. During the 2016 US presidential election campaign, it evolved into a largely pro-Donald Trump and anti-Hillary Clinton political blog. The Southern Poverty Law Center has identified him as a male supremacist. Cernovich has denied being part of the alt-right movement and has described himself instead as ""new right"" and an ""American nationalist""."
Mohamed_Bamba,American basketball player,sports,basketball player,,53732612,Mohamed_Bamba,Mohamed Bamba,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/20170329_MCDAAG_Mohamed_Bamba_watches_rebound.jpg/213px-20170329_MCDAAG_Mohamed_Bamba_watches_rebound.jpg,213,320,"Mohamed Karlakwan Damala Bamba is an American professional basketball player for the Orlando Magic of the National Basketball Association (NBA). He played college basketball for the Texas Longhorns. He is highly regarded due to his 7 ft 10 in (2.39 m) wingspan. He attended Cardigan Mountain School in Canaan, New Hampshire before transferring to Westtown School in West Chester, Pennsylvania and was considered one of the top high school prospects of the class of 2017."
Mohammad_bin_Salman,Saudi crown prince and minister of defense,politics,royalty,,38689358,Mohammad_bin_Salman,Mohammad bin Salman,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Crown_Prince_Mohammad_bin_Salman_Al_Saud_-_2017.jpg/223px-Crown_Prince_Mohammad_bin_Salman_Al_Saud_-_2017.jpg,223,320,"Mohammad bin Salman bin Abdulaziz Al Saud, known colloquially as MbS, is the Crown Prince of Saudi Arabia, also serving as First Deputy Prime Minister, President of the Council for Economic and Development Affairs and Minister of Defense—the world's youngest office holder at the time. He has been described as the power behind the throne of his father, King Salman. He was appointed Crown Prince in June 2017 following his father's decision to remove Muhammad bin Nayef from all positions, making Mohammad bin Salman heir apparent to the throne."
Naby_Keïta,Guinean association football player,sports,soccer player,,43414384,Naby_Keïta,Naby Keïta,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/RB_Leipzig_vs._FC_Liefering_%28Testspiel_9._August_2016%29_24.jpg/281px-RB_Leipzig_vs._FC_Liefering_%28Testspiel_9._August_2016%29_24.jpg,281,320,Naby Laye Keïta is a Guinean professional footballer who plays as a central midfielder for Premier League club Liverpool and captains the Guinea national team.
Natalia_Dyer,American actress,film/tv/theater,actor,,51135409,Natalia_Dyer,Natalia Dyer,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Natalia_Dyer_by_Gage_Skidmore.jpg/235px-Natalia_Dyer_by_Gage_Skidmore.jpg,235,320,Natalia Dyer is an American actress. She plays the role of Nancy Wheeler in the Netflix series Stranger Things.
Neeraj_Chopra,Indian male javelin thrower,sports,javelin thrower,,51150040,Neeraj_Chopra,Neeraj Chopra,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Neeraj_Chopra_Of_India%28Javelin%29.jpg/213px-Neeraj_Chopra_Of_India%28Javelin%29.jpg,213,320,"Neeraj Chopra is an Indian track and field athlete, competes in the javelin throw. He represented India at 2018 Asian Games where he won the gold medal setting the national record of 88.06 m and at the 2018 Commonwealth Games where he also clinched the gold medal. He was the 2016 IAAF World U20 Champion and set the world junior record of 86.48 m at the U20 championships. Neeraj Chopra was selected as the flag-bearer at the opening ceremony for India at the 2018 Asian Games, which marked his first Asian Games appearance. He also represents India at the IAAF Diamond League."
Nicole_Maines,,film/tv/theater,actor,,49056335,Nicole_Maines,Nicole Maines,,,,Nicole Amber Maines is an American actress also known for being Susan Doe in the Maine Supreme Judicial Court case Doe v. Regional School Unit 26 regarding gender identity and bathroom use in schools.
Ninja_(streamer),American Twitch streamer,entertainment,youtuber,,56881343,Ninja_(streamer),Ninja (streamer),https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Ninja_at_Lollapalooza.jpg/222px-Ninja_at_Lollapalooza.jpg,222,320,"Richard Tyler Blevins, more commonly known by his online alias Ninja or NinjasHyper, is an American Twitch streamer and Internet personality. As of September 19, 2018, he is the most followed streamer on Twitch with over eleven million followers and an average of over 43,000 viewers per stream."
Paul_Manafort,American political consultant,politics,politician,,18306417,Paul_Manafort,Paul Manafort,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Paul_Manafort_at_2016_RNC.jpg/264px-Paul_Manafort_at_2016_RNC.jpg,264,320,"Paul John Manafort Jr. is an American lobbyist, political consultant, lawyer, and convicted felon. A Republican, he joined Donald Trump's presidential campaign team in March 2016, and was campaign chairman from June to August 2016. On August 21, 2018, Manafort was convicted of five counts of tax fraud, two counts of bank fraud, and one count of failure to report foreign bank accounts. On September 14, 2018, he pleaded guilty to an additional two counts of conspiracy, per a plea deal in which he also agreed to cooperate with the Special Counsel investigation."
Phil_Elverum,American musician,music,songwriter,,1990114,Phil_Elverum,Phil Elverum,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Phil_Elverum_green_shirt.jpg/184px-Phil_Elverum_green_shirt.jpg,184,320,"Phil Elverum is an American songwriter, producer and visual artist, best known for his musical projects The Microphones and Mount Eerie. Based in Anacortes, Washington in the mid-2000s, he began to spell his surname Elvrum as ""Elverum"", after the Norwegian town of the same name."
Phoebe_Dahl,,business,fashion designer,,52720799,Phoebe_Dahl,Phoebe Dahl,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Phoebe_Dahl_2016.jpg/253px-Phoebe_Dahl_2016.jpg,253,320,"Phoebe Patricia Faircloth, known as Phoebe Dahl, is a British-American fashion designer, philanthropist, and activist."
Phoebe_Waller-Bridge,British actress,film/tv/theater,actor,,39531066,Phoebe_Waller-Bridge,Phoebe Waller-Bridge,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Fleabag_at_The_Edinburgh_Fringe_Festival_2013.jpg/320px-Fleabag_at_The_Edinburgh_Fringe_Festival_2013.jpg,320,283,"Phoebe Mary Waller-Bridge is an English actress, writer, playwright, and director. She is best known for creating and starring in two sitcoms, Channel 4's Crashing and BBC Three's adaptation of Fleabag; and for writing and producing the BBC America drama Killing Eve, based on novels by Luke Jennings."
Prue_Leith,"South African-British chef, writer, television personality, businesswoman",business,chef,,5062195,Prue_Leith,Prue Leith,,,,"Prudence Margaret ""Prue"" Leith, has been a restaurateur, chef, caterer, television presenter/broadcaster, businesswoman, journalist, cookery writer and novelist. She was born in South Africa, but her working life has been spent mostly in London. She is Chancellor of Queen Margaret University, Edinburgh. She was a judge on BBC Two's Great British Menu for eleven years, before joining The Great British Bake Off in March 2017, replacing Mary Berry."
Quavo,American rapper from Georgia; 1/3 of Migos,music,rapper,,43618191,Quavo,Quavo,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Quavo_Veld_festival_2017.jpg/231px-Quavo_Veld_festival_2017.jpg,231,320,"Quavious Keyate Marshall, known professionally as Quavo, is an American rapper, singer, songwriter and record producer. He is best known as a member of the hip hop trio Migos. Quavo is related to his fellow Migos members, being Takeoff's uncle and Offset's cousin."
RJ_Cyler,American actor,film/tv/theater,actor,,47069379,RJ_Cyler,RJ Cyler,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/RJ_Cyler.jpg/213px-RJ_Cyler.jpg,213,320,"Ronald ""RJ"" Cyler II is an American actor. He is best known for his roles in Me and Earl and the Dying Girl and Power Rangers."
Ram_Nath_Kovind,"Indian politician, 14th president of India",politics,president,,42681679,Ram_Nath_Kovind,Ram Nath Kovind,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Ram_Nath_Kovind_official_portrait.jpg/267px-Ram_Nath_Kovind_official_portrait.jpg,267,320,"Ram Nath Kovind is the 14th and current President of India, in office since 25 July 2017. Previously he had served as the Governor of Bihar from 2015 to 2017 and was a Member of Parliament, Rajya Sabha from 1994 to 2006. Kovind was nominated as a presidential candidate by the ruling NDA coalition and won the 2017 presidential election, becoming the second Dalit to be elected to the post of President."
Renato_Sanches,Portuguese association football player,sports,soccer player,,44029096,Renato_Sanches,Renato Sanches,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Renato_Sanches_2016.jpg/190px-Renato_Sanches_2016.jpg,190,320,Renato Júnior Luz Sanches ComM is a Portuguese professional footballer who plays as a midfielder for German club Bayern Munich and the Portugal national team.
Richarlison,Brazilian association football player,sports,soccer player,,47469008,Richarlison,Richarlison,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Richarlison_de_Andrade_2017.jpg/310px-Richarlison_de_Andrade_2017.jpg,310,320,Richarlison de Andrade is a Brazilian professional footballer who plays as a forward for Premier League club Everton and the Brazilian national team.
Rishabh_Pant,Indian cricketer,sports,cricketer,,48358969,Rishabh_Pant,Rishabh Pant,,,,"Rishabh Rajendra Pant is an Indian cricketer who plays for the India national cricket team and Delhi. In December 2015 he was named in India's squad for the 2016 Under-19 Cricket World Cup. On 1 February 2016, during the tournament, he hit an 18-ball fifty, the fastest at this level. He made his Twenty20 International (T20I) debut for India in January 2017 and his Test debut in August 2018."
Robert_Rinder,British barrister and TV personality,entertainment,tv personality,,44922183,Robert_Rinder,Robert Rinder,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Rob_Rinder.png/303px-Rob_Rinder.png,303,320,"Robert Rinder, also known as Judge Rinder, is an English criminal law barrister and television personality. He is best known for his role on the reality courtroom series Judge Rinder. He has been described as ""the Simon Cowell of the bench ... in a British version of the hit American show Judge Judy""."
Robert_Shaw_(actor),English actor and novelist,film/tv/theater,actor,,166123,Robert_Shaw_(actor),Robert Shaw (actor),https://upload.wikimedia.org/wikipedia/en/thumb/e/e4/Robert_Shaw_headshot.jpg/233px-Robert_Shaw_headshot.jpg,233,320,"Robert Archibald Shaw was an English actor, novelist, and playwright. He was nominated for an Oscar and a Golden Globe for his role as Henry VIII in the drama film A Man for All Seasons (1966)."
Russ_(rapper),American rapper,music,rapper,,51286436,Russ_(rapper),Russ (rapper),https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Russ_Osheaga.png/192px-Russ_Osheaga.png,192,320,"Russell Vitale, known by his stage name, Russ, is an American rapper, singer, songwriter and record producer. He is known for his singles ""What They Want"" and ""Losin Control"", which peaked respectively at number 83 and 63 on the US Billboard Hot 100."
Sam_Hyde,American comedian and prankster,entertainment,comedian,,38918490,Sam_Hyde,Sam Hyde,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Samhydetedtalk2070_%28cropped%29.png/240px-Samhydetedtalk2070_%28cropped%29.png,240,320,"Samuel Whitcomb Hyde is an American comedian, writer, performance artist, and actor. He co-created the sketch comedy group Million Dollar Extreme (MDE) along with Charls Carroll and Nick Rochefort."
Sam_Wills,New Zealand comedian,entertainment,comedian,,10548493,Sam_Wills,Sam Wills,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/The_Sam_Wills_-_4718383365.jpg/213px-The_Sam_Wills_-_4718383365.jpg,213,320,"Sam Wills is a New Zealand prop comic, busker, clown, and mime residing in London. He performs under the name The Boy With Tape On His Face and, more recently, as Tape Face. He was also half of the two-person act Spitroast and sometimes performed under his own name, Sam Wills. He has been featured in the New Zealand International Comedy Festival, the World Buskers Festival, and was a finalist on Season 11 of America's Got Talent."
